"Ciudad","Estado","Rep. de ventas","Autopartes","","","","","","","","","","","","","","","","","","","","","",""
"Opelika","Arkansas","Lacey-Mai Davidson","Parrilla","","","","","","","","","","","","","","","","","","","","","",""
"Oraibi","Arizona","Laura Maxwell","Parrilla","","","","","","","","","","","","","","","","","","","","","",""
"Osceola","California","Lemar Salt","Parrilla","","","","","","","","","","","","","","","","","","","","","",""
"Pacific Grove","Alabama","Lenny Reyes","Parrilla","","","","","","","","","","","","","","","","","","","","","",""
"Palmer","Arizona","Mahir Dawe","Parrilla","","","","","","","","","","","","","","","","","","","","","",""
"Phenix City","Arizona","Marcos Mansell","Portaequipajes","","","","","","","","","","","","","","","","","","","","","",""
"Phoenix","Alaska","Marianna Woodard","Portaequipajes","","","","","","","","","","","","","","","","","","","","","",""
"Prescott","Arizona","Mattie Tanner","Portaequipajes","","","","","","","","","","","","","","","","","","","","","",""
"San Rafael","Arkansas","Menachem Barclay","Portaequipajes","","","","","","","","","","","","","","","","","","","","","",""
"Scottsboro","Arkansas","Morwenna Figueroa","Portaequipajes","","","","","","","","","","","","","","","","","","","","","",""
"Scottsdale","Arizona","Musa Marquez","Portaequipajes","","","","","","","","","","","","","","","","","","","","","",""
"Searcy","Alabama","Nataniel Regan","Portaequipajes","","","","","","","","","","","","","","","","","","","","","",""
"Seward","Alabama","Neave Olsen","Radiador","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Vista","Arizona","Nicole Delarosa","Radiador","","","","","","","","","","","","","","","","","","","","","",""
"Sitka","California","Nimra Thornton","Radiador","","","","","","","","","","","","","","","","","","","","","",""
"Skagway","California","Oliwier Sanderson","Radiador","","","","","","","","","","","","","","","","","","","","","",""
"Stuttgart","Arizona","Raya Beattie","Salpicadera","","","","","","","","","","","","","","","","","","","","","",""
"Tempe","Arizona","Rea Baxter","Salpicadera","","","","","","","","","","","","","","","","","","","","","",""
"Tombstone","California","Rehaan Gamble","Salpicadera","","","","","","","","","","","","","","","","","","","","","",""
"Troya","Alaska","Rio Proctor","Salpicadera","","","","","","","","","","","","","","","","","","","","","",""
"Tucson","Alabama","Roscoe Benton","Techo solar","","","","","","","","","","","","","","","","","","","","","",""
"Tuscumbia","Alabama","Saffa Stokes","Techo solar","","","","","","","","","","","","","","","","","","","","","",""
"Tuskegee","Arizona","Shanae Sierra","Techo solar","","","","","","","","","","","","","","","","","","","","","",""
"Valdez","Arizona","Sheila Lucas","Vidrio para techo solar","","","","","","","","","","","","","","","","","","","","","",""
"Walpi","California","Taha Robinson","Vidrio para techo solar","","","","","","","","","","","","","","","","","","","","","",""
"Watts","Alabama","Tom Burge","Vidrio para techo solar","","","","","","","","","","","","","","","","","","","","","",""
"West Memphis","California","Tonisha Osborn","Vidrio para techo solar","","","","","","","","","","","","","","","","","","","","","",""
"Window Rock","Arizona","Vladimir Griffin","Vidrio para techo solar","","","","","","","","","","","","","","","","","","","","","",""
"Yuba City","Alabama","Xander Fox","Vidrio para techo solar","","","","","","","","","","","","","","","","","","","","","",""
